model,video,avg_latency_ms,avg_fps,avg_inference_time_ms,avg_cpu_usage_percent,avg_memory_usage_mb,peak_memory_usage_mb,model_size_memory_mb,avg_detections_per_frame
YOLOv8n,one-by-one-person-detection.mp4,189.56436475118002,5.275253085212447,83.53216330210368,0.25033333333333335,425.878046875,437.015625,23.22265625,0.36
YOLOv8n,store-aisle-detection.mp4,192.7987559636434,5.186755459089024,87.13314692179362,0.32566666666666666,435.9348828125,453.96875,2.5,0.0
YOLOv8n,people-detection.mp4,188.46607446670532,5.3059947411206965,82.45676517486572,0.3343333333333333,449.8728385416667,469.484375,9.375,0.57
YOLOv8s,one-by-one-person-detection.mp4,226.0137669245402,4.424509239447668,119.91122086842854,0.392,524.215625,525.8828125,32.80078125,0.37
YOLOv8s,store-aisle-detection.mp4,232.22082535425824,4.306245998714702,126.48863951365152,0.36300000000000004,520.4435807291667,520.60546875,-4.48046875,0.0
YOLOv8s,people-detection.mp4,232.74860858917236,4.296481109217341,126.71242554982504,0.29133333333333333,519.9675520833333,526.7421875,0.0,0.57
YOLOv8m,one-by-one-person-detection.mp4,294.5351616541544,3.3951803729777024,188.08368603388467,0.27266666666666667,648.8895833333333,667.53125,88.6484375,0.38
YOLOv8m,store-aisle-detection.mp4,300.4991587003072,3.3277963383495415,194.26776568094888,0.4656666666666666,709.0220572916667,725.78515625,35.30078125,0.0
YOLOv8m,people-detection.mp4,306.2224181493123,3.265600232809884,199.71412738164264,0.37566666666666665,796.0065885416667,798.6875,66.3046875,0.57
YOLO11n,one-by-one-person-detection.mp4,183.08907349904376,5.461822384530351,77.13884751001994,0.344,804.62890625,804.62890625,0.125,0.35
YOLO11n,store-aisle-detection.mp4,181.2475339571635,5.517316446558343,75.65540631612141,0.19666666666666666,809.5227734375,810.609375,0.25,0.0
YOLO11n,people-detection.mp4,182.26291259129843,5.486579720375553,75.67234595616658,0.36266666666666664,814.6064583333333,814.609375,0.25,0.57
YOLO11s,one-by-one-person-detection.mp4,196.63779417673746,5.085492360137049,90.81692854563394,0.2943333333333333,857.4752994791667,858.04296875,2.875,0.39
YOLO11s,store-aisle-detection.mp4,196.1584758758545,5.097918892033418,90.21846135457356,0.4103333333333333,868.4679296875,872.15625,0.25,0.0
YOLO11s,people-detection.mp4,195.32560269037882,5.1196565438743535,89.02510245641072,0.4223333333333333,890.918984375,891.2578125,0.125,0.53
YOLO11m,one-by-one-person-detection.mp4,262.22037076950073,3.8135862483354845,156.0184995333354,0.2346666666666667,860.81578125,860.83203125,-30.42578125,0.38
YOLO11m,store-aisle-detection.mp4,256.74580335617065,3.89490300105412,150.46074549357098,0.40166666666666667,860.83203125,860.83203125,0.0,0.0
YOLO11m,people-detection.mp4,259.61390654246014,3.851873781793923,153.4046483039856,0.4423333333333333,860.88078125,860.95703125,0.0,0.47
